id_imagen,autor_id,tipo_manovich,confianza_etiqueta,caso_limite,justificacion_etiqueta
005135c4ff2b5b75,HOB,casual,alta,NO,"La tomé sin intención compositiva, sólo para registrar la cena antes de cocinarla. El encuadre es cenital y descuidado: la plancha ocupa todo el cuadro y queda cortada en los cuatro bordes. La luz es el flash directo del teléfono, que quema los brillos de la carne y hunde el fondo en sombra dura. No hay regla de tercios, no hay horizonte, no hay control de color. La asigno casual con confianza alta porque responde a lo que la guía llama noticia para íntimos: un registro de lo ordinario destinado a un círculo cercano, donde el valor es testimonial y no estético."
c507b59a50eba067,HOB,casual,alta,NO,"Un contenedor de residuos ocupando el centro del cuadro es exactamente el tipo de sujeto no-notable que la guía propone para esta categoría. No hay jerarquía compositiva: el contenedor, el cartel de la bicisenda y la vereda pesan lo mismo. El ciclista que cruza el fondo entró por azar, no lo esperé. La luz es la del mediodía, sin elección de hora ni de dirección. La asigno casual con confianza alta porque el criterio de la toma fue documentar algo banal de la calle, no construir una imagen; que la nitidez sea buena es mérito del teléfono, no una decisión mía."
bf2a5766d6b9bcbc,HOB,casual,media,SI,"Es un registro doméstico: el gato se quedó quieto un momento y le saqué una foto, sin preparar nada. El fondo es mi escritorio, con la pantalla encendida, sin ordenar. La asigno casual porque la intención fue afectiva y momentánea, propia del modo amigos. Le pongo confianza media y la marco como caso límite porque el resultado contradice en parte esa intención: el modo retrato del teléfono separó al sujeto del fondo y dejó los ojos perfectamente nítidos, que son convenciones de la mirada técnica. Es un buen ejemplo de cómo el automatismo de la cámara empuja una foto casual hacia lo profesional."
d8ab5059d2eebeec,HOB,diseño,alta,NO,"Es una toma cenital compuesta como imagen, no como registro de un café. Coloqué la taza en el cuadrante inferior derecho y dejé que la mitad izquierda quedara vacía: la madera gastada funciona como espacio negativo y a la vez aporta la única textura del cuadro, con sus vetas y marcas. La paleta se reduce al blanco de la loza, el marrón de la mesa y el tono del café. El plano cenital aplana la escena y la convierte en una composición de círculos sobre un plano. La asigno diseño con confianza alta por el minimalismo y el encuadre asimétrico."
dff4b9e1e0189297,HOB,diseño,alta,NO,"Me detuve a fotografiar la tapa desde arriba porque me interesó el dibujo, no el objeto. El plano cenital aplana el espacio y convierte la escena en una superficie gráfica: los círculos concéntricos del hierro contra la trama de puntos de las baldosas amarillas y el gris irregular del cemento. La textura y el patrón son el tema. La asigno diseño con confianza alta porque la decisión fue tratar el encuadre como un lienzo, eliminando toda referencia narrativa o de contexto; no se sabe dónde es ni qué estaba pasando alrededor."
fff23c0a712dcccb,HOB,diseño,alta,NO,"La encuadré de frente, tratando la pared como un plano y no como un espacio: el resultado es una imagen casi sin profundidad, donde lo que organiza la lectura es el contraste entre tres colores, el rojo saturado del muro, el gris de la persiana y el verde de la enredadera. Las líneas horizontales de los postigos arman una trama regular que la vegetación desordena por encima. La asigno diseño con confianza alta porque la decisión fue construir una superficie gráfica, no documentar una casa."
3ca3711a59474bc8,HOB,profesional,alta,NO,"La saqué buscando el contraste entre la luz cálida del edificio y el cielo, y ese control de la luz es la razón principal de la etiqueta: la iluminación rasante genera volumen en los arcos y el rango tonal se sostiene en los dos extremos, con las ventanas encendidas sin quemarse y las sombras de la cornisa con detalle. Medí las verticales y conservan una desviación de alrededor de dos grados, en parte por la convergencia propia del contrapicado y en parte por la toma. La asigno profesional con confianza alta, asumiendo esa imprecisión geométrica como límite reconocido de la imagen."
0089b69ead893902,HOB,profesional,alta,NO,"Busqué deliberadamente aislar el racimo del fondo. El sujeto está nítido en el plano cercano y el resto de la planta cae en desenfoque progresivo, lo que ordena la lectura de la imagen. Los pétalos blancos, que son lo más difícil de exponer acá, conservan textura sin quemarse contra el verde. El peso visual está desplazado hacia la derecha y el vacío desenfocado de la izquierda lo equilibra. La asigno profesional con confianza alta por el foco crítico y el control de profundidad de campo."
5fdef16239915436,HOB,profesional,media,SI,"Elegí la esquina de frente para que el volumen entrara completo, con las dos fachadas simétricas respecto del acceso central. Las verticales quedaron a plomada y el encuadre no corta el edificio en ningún borde. El cielo cubierto dio una luz difusa y pareja que evita los contrastes duros: no hay un solo píxel quemado y las sombras bajo el alero conservan detalle. La asigno profesional con confianza alta porque responde punto por punto al checklist de auditoría de la guía: nivelación, encuadre limpio, exposición controlada y neutralidad cromática."
4a5dd195908a1d72,JOB,casual,Media,NO,"Chocolates en la mesa : Esta fotografía se clasifica en la categoría casual porque retrata un espacio cotidiano y espontáneo sin arreglo estético previo. La disposición desordenada 
de cajas abiertas, envoltorios y tabletas de chocolate sobre la mesa refleja un consumo inmediato e informal, alejado de la composición estructurada que caracteriza a la fotografía 
publicitaria de alimentos. Su principal ambigüedad radica en la narrativa del contexto: la imagen no permite discernir si se trata de una reunión social compartida, una degustación
 de productos traídos de un viaje reciente o simplemente un conjunto de obsequios sin abrir. "
cefbe6ec666f0528,JOB,casual,Media,NO,"Plato de comida : La imagen pertenece a la categoría casual al capturar una porción de pollo con papas fritas servida de forma directa y sin preparación estilística.
El encuadre en plano cenital es inmediato y refleja el acto cotidiano de documentar un almuerzo o cena en el momento exacto previo o posterior a comer, manteniendo una 
estética utilitaria e informal. La ambigüedad intrínseca radica en el origen de la preparación: la toma no aporta suficientes indicios visuales para determinar si se trata de un 
plato elaborado en un entorno hogareño o de un menú servido en un restaurante tradicional. "
864dd09676202286,JOB,casual,Media,NO,"Calzado en la tierra : Se asigna esta imagen a la categoría casual por ser una toma en picado realizada de forma instintiva, registrando los propios pies durante una pausa en un 
entorno natural. La composición no responde a un estándar publicitario o de diseño, sino al registro documental de una vivencia personal. La ambigüedad de la fotografía surge 
de los elementos observados: no queda claro qué actividad específica realiza la persona en ese terreno, ni la naturaleza exacta del calzado oscuro, el cual plantea dudas sobre 
si es un calzado técnico de montaña o una cubierta protectora para la lluvia."
f6066e321b10f4c2,JOB,diseño,Media,SI,"Fuente en piscina vista desde arriba : La fotografía pertenece a la categoría de diseño por su marcado enfoque abstracto y el uso deliberado de la perspectiva vertical. 
El encuadre busca resaltar el contraste de tonos fríos y cálidos junto con las texturas concéntricas de la fuente sobre el fondo reticulado de la piscina, priorizando 
la geometría visual por encima de la escena general. Su ambigüedad radica en la función del registro: no queda claro si la toma responde a un detalle arquitectónico 
publicitario, una búsqueda artística personal de patrones o una postal conceptual de un hotel "
5acdcfa25e9511d7,JOB,diseño,Media,NO,"Café y libreta centrados : Se asigna a la categoría de diseño debido a su rigurosa alineación y búsqueda de equilibrio visual, organizando las tazas, la libreta y la lapicera 
sobre un eje central limpio. Esta disposición calculada apela a la estética minimalista característica de las redes sociales, donde los elementos cotidianos se reordenan 
estilísticamente. Su ambigüedad intrínseca se halla en el mensaje final: resulta incierto si la fotografía intenta promocionar la experiencia de un espacio de café, 
publicitar el diseño de la libreta o simplemente proyectar una atmósfera inspiradora en Instagram."
2dd6e6b5f2401a98,JOB,diseño,Media,NO,"Cuaderno con auriculares y anteojos : Esta imagen se clasifica en la categoría de diseño por su cuidada composición en plano cenital (flat lay), donde cada objeto está 
colocado con una clara intención estética y geométrica. La paleta de colores sobria y la simetría visual buscan evocar un concepto pulcro de espacio de trabajo o estudio. 
La ambigüedad de la foto radica en su propósito comunicativo: la disposición armada no permite distinguir si busca promocionar artículos de oficina, 
funcionar como imagen de portada sobre productividad para un blog o representar una toma conceptual de estilo de vida."
