id_imagen,autor_id,tipo_manovich,confianza_etiqueta,caso_limite,justificacion_etiqueta,mediana_luminancia,dispersion_luminancia,prop_sombras,prop_altas_luces,matiz_dominante_deg,saturacion_media,dominancia_cromatica
005135c4ff2b5b75,HOB,casual,alta,False,"La tomé sin intención compositiva, sólo para registrar la cena antes de cocinarla. El encuadre es cenital y descuidado: la plancha ocupa todo el cuadro y queda cortada en los cuatro bordes. La luz es el flash directo del teléfono, que quema los brillos de la carne y hunde el fondo en sombra dura. No hay regla de tercios, no hay horizonte, no hay control de color. La asigno casual con confianza alta porque responde a lo que la guía llama noticia para íntimos: un registro de lo ordinario destinado a un círculo cercano, donde el valor es testimonial y no estético.",0.3218,0.2403,0.1411,0.0029,13.25,0.4706,0.1635
c507b59a50eba067,HOB,casual,alta,False,"Un contenedor de residuos ocupando el centro del cuadro es exactamente el tipo de sujeto no-notable que la guía propone para esta categoría. No hay jerarquía compositiva: el contenedor, el cartel de la bicisenda y la vereda pesan lo mismo. El ciclista que cruza el fondo entró por azar, no lo esperé. La luz es la del mediodía, sin elección de hora ni de dirección. La asigno casual con confianza alta porque el criterio de la toma fue documentar algo banal de la calle, no construir una imagen; que la nitidez sea buena es mérito del teléfono, no una decisión mía.",0.5845,0.2524,0.0766,0.0195,47.35,0.1636,0.2035
bf2a5766d6b9bcbc,HOB,casual,media,True,"Es un registro doméstico: el gato se quedó quieto un momento y le saqué una foto, sin preparar nada. El fondo es mi escritorio, con la pantalla encendida, sin ordenar. La asigno casual porque la intención fue afectiva y momentánea, propia del modo amigos. Le pongo confianza media y la marco como caso límite porque el resultado contradice en parte esa intención: el modo retrato del teléfono separó al sujeto del fondo y dejó los ojos perfectamente nítidos, que son convenciones de la mirada técnica. Es un buen ejemplo de cómo el automatismo de la cámara empuja una foto casual hacia lo profesional.",0.1626,0.2745,0.3993,0.0167,354.82,0.3901,0.3549
d8ab5059d2eebeec,HOB,diseno,alta,False,"Es una toma cenital compuesta como imagen, no como registro de un café. Coloqué la taza en el cuadrante inferior derecho y dejé que la mitad izquierda quedara vacía: la madera gastada funciona como espacio negativo y a la vez aporta la única textura del cuadro, con sus vetas y marcas. La paleta se reduce al blanco de la loza, el marrón de la mesa y el tono del café. El plano cenital aplana la escena y la convierte en una composición de círculos sobre un plano. La asigno diseño con confianza alta por el minimalismo y el encuadre asimétrico.",0.474,0.2019,0.0276,0.0194,26.67,0.4967,0.1086
dff4b9e1e0189297,HOB,diseno,alta,False,"Me detuve a fotografiar la tapa desde arriba porque me interesó el dibujo, no el objeto. El plano cenital aplana el espacio y convierte la escena en una superficie gráfica: los círculos concéntricos del hierro contra la trama de puntos de las baldosas amarillas y el gris irregular del cemento. La textura y el patrón son el tema. La asigno diseño con confianza alta porque la decisión fue tratar el encuadre como un lienzo, eliminando toda referencia narrativa o de contexto; no se sabe dónde es ni qué estaba pasando alrededor.",0.5882,0.2113,0.0104,0.003,26.15,0.1468,0.1265
fff23c0a712dcccb,HOB,diseno,alta,False,"La encuadré de frente, tratando la pared como un plano y no como un espacio: el resultado es una imagen casi sin profundidad, donde lo que organiza la lectura es el contraste entre tres colores, el rojo saturado del muro, el gris de la persiana y el verde de la enredadera. Las líneas horizontales de los postigos arman una trama regular que la vegetación desordena por encima. La asigno diseño con confianza alta porque la decisión fue construir una superficie gráfica, no documentar una casa.",0.4165,0.187,0.0355,0.0012,10.01,0.4649,0.0825
3ca3711a59474bc8,HOB,profesional,alta,False,"La saqué buscando el contraste entre la luz cálida del edificio y el cielo, y ese control de la luz es la razón principal de la etiqueta: la iluminación rasante genera volumen en los arcos y el rango tonal se sostiene en los dos extremos, con las ventanas encendidas sin quemarse y las sombras de la cornisa con detalle. Medí las verticales y conservan una desviación de alrededor de dos grados, en parte por la convergencia propia del contrapicado y en parte por la toma. La asigno profesional con confianza alta, asumiendo esa imprecisión geométrica como límite reconocido de la imagen.",0.1692,0.2033,0.0376,0.0072,232.2,0.6088,0.3414
0089b69ead893902,HOB,profesional,alta,False,"Busqué deliberadamente aislar el racimo del fondo. El sujeto está nítido en el plano cercano y el resto de la planta cae en desenfoque progresivo, lo que ordena la lectura de la imagen. Los pétalos blancos, que son lo más difícil de exponer acá, conservan textura sin quemarse contra el verde. El peso visual está desplazado hacia la derecha y el vacío desenfocado de la izquierda lo equilibra. La asigno profesional con confianza alta por el foco crítico y el control de profundidad de campo.",0.3728,0.2193,0.0079,0.0125,90.09,0.3625,0.0938
5fdef16239915436,HOB,profesional,media,True,"Elegí la esquina de frente para que el volumen entrara completo, con las dos fachadas simétricas respecto del acceso central. Las verticales quedaron a plomada y el encuadre no corta el edificio en ningún borde. El cielo cubierto dio una luz difusa y pareja que evita los contrastes duros: no hay un solo píxel quemado y las sombras bajo el alero conservan detalle. La asigno profesional con confianza alta porque responde punto por punto al checklist de auditoría de la guía: nivelación, encuadre limpio, exposición controlada y neutralidad cromática.",0.6251,0.2657,0.0545,0.0995,30.82,0.1623,0.0997
4a5dd195908a1d72,JOB,casual,media,False,"Chocolates en la mesa : Esta fotografía se clasifica en la categoría casual porque retrata un espacio cotidiano y espontáneo sin arreglo estético previo. La disposición desordenada 
de cajas abiertas, envoltorios y tabletas de chocolate sobre la mesa refleja un consumo inmediato e informal, alejado de la composición estructurada que caracteriza a la fotografía 
publicitaria de alimentos. Su principal ambigüedad radica en la narrativa del contexto: la imagen no permite discernir si se trata de una reunión social compartida, una degustación
 de productos traídos de un viaje reciente o simplemente un conjunto de obsequios sin abrir.",0.3144,0.2282,0.0553,0.0209,4.94,0.5688,0.0692
